type,lat_dms,lat_d,lat_m,lat_s,lat_dd,long_dms,long_d,long_m,long_s,long_dd,label,location,notes,live
Summer,43 43.85,43,43,85,43.74027778,W124 20.15,124,20,15,-124.3375,6 2,Umpqua triangle N pt,,11/1/19
Summer,43 38.80,43,38,80,43.65555556,W124 22.75,124,22,75,-124.3875,6 3,Umpqua triangle S pt,,11/1/19
Summer,43 40.80,43,40,80,43.68888889,W124 17.70,124,17,70,-124.3027778,6 4,Umpqua trinangle E pt,,11/1/19
Summer,43 43.85,43,43,85,43.74027778,W124 20.15,124,20,15,-124.3375,6 2,Umpqua triangle N pt,,11/1/19
Summer,44 26.00,44,26,0,44.43333333,W124 18.15,124,18,15,-124.3041667,N18,N point of YB to CB offshore line,,11/1/19
Summer,44 24.046,44,24,46,44.41277778,W124 18.15,124,18,15,-124.3041667,N21,sm turn on YB to CB offshore line,,11/1/19
Summer,43 43.70,43,43,70,43.73611111,W124 23.00,124,23,0,-124.3833333,6 10,Turn at Umpqua ,,11/1/19
Summer,43 18.60,43,18,60,43.31666667,W124 35.674,124,35,674,-124.7705556,CCM ,"Color Change Mark on offshore line (summer N, year-round S",,11/1/19
Summer,44 00.50,44,0,50,44.01388889,W124 10.15,124,10,15,-124.1708333,5 18,Inshore point of Inshore line Siuslaw to Umpqua Ent.,,11/1/19
Summer,43 54.85,43,54,85,43.92361111,W124 19.00,124,19,0,-124.3166667,5 19,Corner inshore line Siuslaw to Umpqua,,11/1/19
Summer,43 46.20,43,46,20,43.77222222,W124 20.00,124,20,0,-124.3333333,6 1,Corner inshore line Siuslaw going into Umpqua,,11/1/19
Summer,43 40.40,43,40,40,43.67777778,W124 13.90,124,13,90,-124.2416667,6 5,"S point of Inshore line, Siuslaw to Umpqua, N side of Umpqua entrance",,11/1/19
Summer,43 38.10,43,38,10,43.63611111,W124 18.90,124,18,90,-124.325,6 8,NE point of inshore  Summer lane  Ump to CB(outside of year-round Umpqua to CB),,11/1/19
Summer,43 36.40,43,36,40,43.61111111,W124 23.90,124,23,90,-124.4083333,6 9,"Corner, inshore summer lane Ump to CB",,11/1/19
Summer,43 26.25,43,26,25,43.44027778,W124 28.90,124,28,90,-124.4916667,6 11,"Corner, inshore summer lane Ump to CB, going into CB N entrance channel",,11/1/19
Summer,43 24.50,43,24,50,43.41388889,W124 26.25,124,26,25,-124.4402778,6 12,SE point of Summer lane Ump to CB,,11/1/19
Summer,43 24.00,43,24,0,43.4,W124 30.00,124,30,0,-124.5,6 17,N point of CB triangle,,11/1/19
Summer,43 22.10,43,22,10,43.36944444,W124 26.90,124,26,90,-124.4583333,6 16,Inshore point of CB triangle,,11/1/19
Summer,43 20.75,43,20,75,43.35416667,W124 31.85,124,31,85,-124.5402778,6 18,S point of CB triangle,,11/1/19
Summer,43 24.00,43,24,0,43.4,W124 30.00,124,30,0,-124.5,6 17 (2),N point of CB triangle,,11/1/19
Summer,43 21.25,43,21,25,43.35694444,W124 24.00,124,24,0,-124.4,6 15,Inshore end of S CB entrance channel,,11/1/19
Summer,43 18.60,43,18,60,43.31666667,W124 32.85,124,32,85,-124.5569444,6 19,Offshore end of S CB entrance channel,,11/1/19
